name,code,global_id,parent_id,local_id,level
Wielkopolskie,PL41,252,23,50,4
Zachodniopomorskie,PL42,253,23,50,4
Lubuskie,PL43,254,23,50,4
Dolnośląskie,PL51,255,23,50,4
Opolskie,PL52,256,23,50,4
Kujawsko-pomorskie,PL61,257,23,50,4
Warmińsko-mazurskie,PL62,258,23,50,4
Pomorskie,PL63,259,23,50,4
Łódzkie,PL71,260,23,50,4
Świętokrzyskie,PL72,261,23,50,4
Lubelskie,PL81,262,23,50,4
Podkarpackie,PL82,263,23,50,4
Podlaskie,PL84,264,23,50,4
Warszawski stołeczny,PL91,265,23,50,4
Mazowiecki regionalny,PL92,266,23,50,4
Norte,PT11,267,24,50,4
Algarve,PT15,268,24,50,4
Centro (PT),PT16,269,24,50,4
Área Metropolitana de Lisboa,PT17,270,24,50,4
Alentejo,PT18,271,24,50,4
Região Autónoma dos Açores,PT20,272,24,50,4
Região Autónoma da Madeira,PT30,273,24,50,4
Nord-Vest,RO11,274,25,50,4
Centru,RO12,275,25,50,4
Nord-Est,RO21,276,25,50,4
Sud-Est,RO22,277,25,50,4
Sud - Muntenia,RO31,278,25,50,4
Bucureşti - Ilfov,RO32,279,25,50,4
Sud-Vest Oltenia,RO41,280,25,50,4
Vest,RO42,281,25,50,4
Stockholm,SE11,282,26,50,4
Östra Mellansverige,SE12,283,26,50,4
Småland med öarna,SE21,284,26,50,4
Sydsverige,SE22,285,26,50,4
Västsverige,SE23,286,26,50,4
Norra Mellansverige,SE31,287,26,50,4
Mellersta Norrland,SE32,288,26,50,4
Övre Norrland,SE33,289,26,50,4
Vzhodna Slovenija,SI03,290,27,50,4
Zahodna Slovenija,SI04,291,27,50,4
Bratislavský kraj,SK01,292,28,50,4
Západné Slovensko,SK02,293,28,50,4
Stredné Slovensko,SK03,294,28,50,4
Východné Slovensko,SK04,295,28,50,4
Tees Valley and Durham,UKC1,296,29,50,4
Northumberland and Tyne and Wear,UKC2,297,29,50,4
Cumbria,UKD1,298,29,50,4
Greater Manchester,UKD3,299,29,50,4
Lancashire,UKD4,300,29,50,4
Cheshire,UKD6,301,29,50,4
Merseyside,UKD7,302,29,50,4
East Yorkshire and Northern Lincolnshire,UKE1,303,29,50,4
North Yorkshire,UKE2,304,29,50,4
South Yorkshire,UKE3,305,29,50,4
West Yorkshire,UKE4,306,29,50,4
Derbyshire and Nottinghamshire,UKF1,307,29,50,4
Leicestershire Rutland and Northamptonshire,UKF2,308,29,50,4
Lincolnshire,UKF3,309,29,50,4
Herefordshire Worcestershire and Warwickshire,UKG1,310,29,50,4
Shropshire and Staffordshire,UKG2,311,29,50,4
West Midlands,UKG3,312,29,50,4
East Anglia,UKH1,313,29,50,4
Bedfordshire and Hertfordshire,UKH2,314,29,50,4
Essex,UKH3,315,29,50,4
Inner London — West,UKI3,316,29,50,4
Inner London — East,UKI4,317,29,50,4
Outer London — East and North East,UKI5,318,29,50,4
Outer London — South,UKI6,319,29,50,4
Outer London — West and North West,UKI7,320,29,50,4
Berkshire Buckinghamshire and Oxfordshire,UKJ1,321,29,50,4
Surrey East and West Sussex,UKJ2,322,29,50,4
Hampshire and Isle of Wight,UKJ3,323,29,50,4
Kent,UKJ4,324,29,50,4
Gloucestershire Wiltshire and Bristol/Bath area,UKK1,325,29,50,4
Dorset and Somerset,UKK2,326,29,50,4
Cornwall and Isles of Scilly,UKK3,327,29,50,4
Devon,UKK4,328,29,50,4
West Wales and The Valleys,UKL1,329,29,50,4
East Wales,UKL2,330,29,50,4
North Eastern Scotland,UKM5,331,29,50,4
Highlands and Islands,UKM6,332,29,50,4
Eastern Scotland,UKM7,333,29,50,4
West Central Scotland,UKM8,334,29,50,4
Southern Scotland,UKM9,335,29,50,4
Northern Ireland,UKN0,336,29,50,4
